id,name,price,brand,cpu,memory,storage
28,ASUS VivoBook X540LA-DM1083T,3895,Asus,Intel Core i3-5005U,4GB,128GB
29,HP Spectre x360 13-AE080no,33566,HP,Intel Core i5-8250U,8GB,256GB
30,HP EliteBook 1040 G4,31715,HP,Intel Core i5-7200U,8GB,512GB
31,HP EliteBook 1040 G4,32949,HP,Intel Core i7-7500U,8GB,512GB
32,HP EliteBook 1040 G4,47765,HP,Intel Core i7-7500U,8GB,512GB
33,Lenovo V330-15,9474,Lenovo,Intel Core i5-8250U,8GB,256GB
34,Lenovo ThinkPad E480,14988,Lenovo,Intel Core i7-8550U,8GB,256GB
35,Lenovo ThinkPad T480s,22644,Lenovo,Intel Core i7-8550U,8GB,256GB
36,Lenovo ThinkPad L480,8990,Lenovo,Intel Core i5-8250U,8GB,256GB
37,Lenovo ThinkPad X280,23490,Lenovo,Intel Core i7-8550U,8GB,256GB
38,Lenovo ThinkPad X380 Yoga,20057,Lenovo,Intel Core i5-8250U,8GB,256GB
39,Lenovo ThinkPad T580,23872,Lenovo,Intel Core i7-8550U,8GB,256GB
40,Lenovo ThinkPad T480,21020,Lenovo,Intel Core i7-8550U,8GB,256GB
41,Dell Latitude 7390,13428,Dell,Intel Core i7-8650U,16GB,512GB
42,HP EliteBook 830 G5,26715,HP,Intel Core i5-8250U,16GB,512GB
43,HP EliteBook 840 G5,26239,HP,Intel Core i5-8250U,8GB,256GB
44,HP EliteBook 850 G5,19499,HP,Intel Core i7-8550U,8GB,256GB
45,HP EliteBook 830 G5,25624,HP,Intel Core i5-8250U,8GB,256GB
46,HP EliteBook 830 G5,18499,HP,Intel Core i5-8250U,8GB,256GB
47,HP EliteBook 840 G5,26425,HP,Intel Core i7-8550U,8GB,256GB
48,HP EliteBook 850 G5,29175,HP,Intel Core i7-8550U,16GB,512GB
49,HP EliteBook 840 G5,30495,HP,Intel Core i7-8550U,8GB,512GB
50,HP EliteBook 840 G5,32145,HP,Intel Core i7-8550U,8GB,512GB
51,HP EliteBook 840 G5,27389,HP,Intel Core i5-8250U,8GB,512GB
52,Lenovo ThinkPad X1 Carbon,26796,Lenovo,Intel Core i5-8250U,8GB,256GB
53,Lenovo ThinkPad T480s,28886,Lenovo,Intel Core i7-8550U,16GB,256GB
54,Lenovo ThinkPad X1 Yoga,35613,Lenovo,Intel Core i5-8350U,16GB,512GB
55,HP EliteBook x360 1030 G2,40050,HP,Intel Core i7-7500U,8GB,256GB
56,HP EliteBook 830 G5,29965,HP,Intel Core i7-8550U,8GB,512GB
57,HP EliteBook x360 1030 G2,41399,HP,Intel Core i7-7600U,8GB,256GB
58,HP EliteBook 830 G5,25875,HP,Intel Core i5-8250U,8GB,256GB
59,Lenovo ThinkPad L380,12172,Lenovo,Intel Core i3-8130U,8GB,256GB
60,HP ZBook 15u G5,37739,HP,Intel Core i7-8650U,16GB,512GB
61,HP ZBook 15 G5,41329,HP,Intel Core i7-8850H,8GB,512GB
62,HP ZBook 17 G5,44495,HP,Intel Core i7-8850H,16GB,256GB
63,HP ZBook Studio G5,35449,HP,Intel Core i7-8750H,16GB,512GB
64,HP EliteBook 840 G5,23945,HP,Intel Core i7-8550U,8GB,256GB
65,HP ZBook 14u G5,37185,HP,Intel Core i7-8650U,16GB,512GB
