,Company,Pages,Sustainability Report mention,first5sus,Annual Report mention,first5annual,exclusion,Year,bs_score,sustainability_score
359,3750,17,0,0,0,0,0,2020,0,0
360,3752,89,1,1,1,0,0,2020,2,0
361,14151,8,1,0,1,0,0,2020,0,0
362,3748,42,1,1,1,1,0,2020,2,0
363,14019,52,1,1,1,0,1,2020,2,0
364,3746,41,0,0,0,0,0,2020,0,0
365,17417,69,1,1,1,0,0,2020,2,0
366,17876,11,0,0,1,1,0,2020,1,0
367,442,467,1,0,1,0,0,2020,0,0
368,3744,271,1,1,1,1,0,2020,2,0
369,3743,89,0,0,1,1,0,2021,1,0
370,13971,73,0,0,1,0,0,2018,0,0
371,3740,314,1,1,1,1,0,2020,2,0
372,438,197,1,1,1,0,0,2020,2,0
373,18,507,1,0,1,1,0,2020,1,0
374,434,39,1,1,1,0,0,2019,2,0
375,13882,72,1,1,1,1,0,2020,2,0
376,3738,18,0,0,0,0,0,2020,0,0
377,3739,48,0,0,1,1,0,2020,1,0
378,13890,57,1,1,0,0,0,2020,2,0
379,13881,58,1,1,1,0,0,2020,2,0
380,345,178,1,1,1,0,0,2020,2,0
381,13876,9,1,0,0,0,1,2020,0,0
382,20,306,1,1,1,0,0,2020,2,0
383,13865,62,1,1,1,1,0,2020,2,0
384,13863,41,0,0,0,0,0,2020,0,0
385,13866,50,1,1,1,0,0,2010,2,0
386,17126,41,0,0,0,0,0,2020,0,0
387,13849,31,0,0,0,0,0,2020,0,0
388,3735,165,0,0,1,1,0,2020,1,0
389,432,160,1,0,1,1,0,2020,1,0
390,3732,125,1,1,1,0,0,2020,2,0
391,3733,83,1,0,1,0,0,2016,0,0
392,13770,83,1,1,1,0,0,2020,2,0
393,17062,130,0,0,1,0,0,2021,0,0
394,3727,124,1,1,1,0,0,2020,2,0
395,3726,225,1,0,1,1,0,2020,1,0
396,286,33,1,1,0,0,0,2020,2,0
397,3719,125,0,0,1,0,0,2020,0,0
398,17261,511,1,0,1,1,0,2020,1,0
399,13685,17,1,0,0,0,0,2020,0,0
400,3717,91,1,1,1,0,0,2020,2,0
401,280,39,0,0,1,0,0,2020,0,0
402,429,41,1,1,1,0,0,2020,2,0
403,3712,240,1,1,1,0,0,2020,2,0
404,3715,43,1,1,0,0,0,2020,2,0
405,3709,24,1,1,1,0,0,2021,2,0
406,13572,430,0,0,1,0,0,2000,0,0
407,3707,4,0,0,0,0,0,2020,0,0
408,13573,14,1,1,1,1,1,2020,2,0
409,13564,184,0,0,1,0,0,2020,0,0
410,13494,125,1,1,1,0,0,2020,2,0
411,13498,36,1,1,0,0,0,2020,2,0
412,3702,304,1,0,1,0,0,2020,0,0
413,13493,260,1,0,1,1,0,2020,1,0
414,3705,52,1,1,1,0,0,2019,2,0
415,3698,224,0,0,1,1,0,2020,1,0
416,3699,65,1,1,1,0,1,2019,2,0
417,268,30,0,0,1,0,0,2020,0,0
418,13443,41,1,1,0,0,0,2020,2,0
419,13420,45,1,1,0,0,0,2020,2,0
420,13399,38,1,1,0,0,0,2020,2,0
421,3693,52,1,0,1,0,0,2006,0,0
422,3695,133,0,0,1,1,0,2020,1,0
423,13426,89,1,1,0,0,0,2020,2,0
424,265,76,1,1,1,1,0,2020,2,0
425,13367,8,0,0,1,1,0,2004,1,0
426,13348,85,1,1,0,0,0,2020,2,0
427,13366,115,1,1,1,1,0,2020,2,0
428,13305,186,0,0,1,1,0,2020,1,0
429,13306,21,0,0,1,0,0,2019,0,0
430,3691,19,0,0,0,0,0,2019,0,0
431,13289,183,1,1,0,0,0,2020,2,0
432,3690,52,1,1,1,0,0,2020,2,0
433,13294,122,1,1,1,1,0,2020,2,0
434,3685,30,0,0,0,0,0,2005,0,0
435,3683,125,1,0,1,1,0,2020,1,0
436,17,28,1,1,1,1,0,2018,2,0
437,13251,57,0,0,0,0,0,2020,0,0
438,13241,216,1,0,1,1,0,2020,1,0
439,3680,20,0,0,0,0,0,2020,0,0
440,13230,33,0,0,0,0,0,2020,0,0
441,13174,3,1,1,0,0,0,2020,2,0
442,13181,40,1,1,1,1,0,2020,2,0
443,3678,96,1,1,1,0,0,2020,2,0
444,3674,28,0,0,1,1,0,2020,1,0
445,13147,16,1,1,0,0,1,2020,2,0
446,3667,213,1,0,1,1,0,2020,1,0
447,13145,41,1,1,0,0,0,2020,2,0
448,3668,27,1,0,1,1,1,2020,0,0
449,3666,41,1,1,0,0,0,2021,2,0
450,3663,11,0,0,0,0,0,2020,0,0
451,3662,548,1,0,1,1,0,2020,1,0
452,3657,387,1,0,1,1,0,2020,1,0
453,3660,6,0,0,0,0,0,2020,0,0
454,3661,76,1,0,1,0,0,2020,0,0
455,3659,64,1,1,1,1,0,2018,2,0
456,13103,96,1,1,1,1,0,2020,2,0
457,3654,41,0,0,0,0,0,2020,0,0
458,13035,169,1,0,1,1,0,2020,1,0
459,12998,43,1,1,1,0,1,2020,2,0
460,3652,69,1,1,1,0,0,2020,2,0
461,3650,128,1,1,1,0,1,2020,2,0
462,17259,125,1,1,1,0,0,2020,2,0
463,409,69,1,1,0,0,0,2020,2,0
464,17021,450,0,0,1,0,0,2020,0,0
465,3647,240,1,1,1,0,0,2020,2,0
466,3649,119,1,1,1,1,0,2020,2,0
467,3640,55,0,0,0,0,0,2008,0,0
468,247,83,1,0,0,0,0,2020,0,0
469,12934,243,1,0,1,1,0,2020,1,0
470,3638,76,1,1,1,0,0,2020,2,0
471,17039,331,0,0,1,0,0,2017,0,0
472,17032,11,0,0,0,0,0,2020,0,0
473,3636,33,1,0,0,0,0,2020,0,0
474,3622,316,1,0,1,1,0,2020,1,0
475,3631,95,1,1,1,1,0,2020,2,0
476,3624,54,0,0,0,0,0,2020,0,0
477,3620,54,0,0,0,0,0,2020,0,0
478,12865,52,1,1,1,0,0,2021,2,0
479,3612,119,1,1,0,0,0,2020,2,0
480,244,304,1,1,1,0,1,2020,2,0
481,12863,15,1,1,1,1,1,2020,2,0
482,3608,209,1,0,1,1,0,2020,1,0
483,3610,153,1,1,0,0,0,2020,2,0
484,17028,14,0,0,0,0,0,2020,0,0
485,3604,38,0,0,1,1,0,2018,1,0
486,3601,56,0,0,1,0,0,2019,0,0
487,399,145,1,0,1,1,0,2021,1,0
488,12740,63,1,1,1,0,0,2020,2,0
489,12738,81,1,1,1,0,0,2019,2,0
490,12752,258,1,0,1,1,0,2020,1,0
491,3594,157,1,0,1,1,0,2020,1,0
492,397,231,1,0,1,1,0,2020,1,0
493,12719,34,1,1,0,0,0,2021,2,0
494,395,186,1,0,1,1,0,2020,1,0
495,396,289,1,1,1,0,0,2020,2,0
496,3587,346,0,0,1,1,0,2019,1,0
497,3586,65,0,0,1,1,0,2019,1,0
498,12694,240,1,1,1,1,0,2019,2,0
499,12698,87,1,1,1,0,0,2020,2,0
500,3579,235,1,0,1,1,0,2019,1,0
501,3581,258,1,0,1,1,0,2020,1,0
502,12700,67,1,1,1,0,0,2020,2,0
503,3574,81,0,0,0,0,0,2020,0,0
504,12679,83,1,1,1,0,0,2020,2,0
505,3576,412,1,1,1,0,0,2016,2,0
506,12670,229,1,0,1,1,0,2020,1,0
507,12659,69,1,1,1,0,0,2020,2,0
508,12665,342,0,0,1,0,0,2018,0,0
509,393,79,1,1,1,0,0,2020,2,0
510,392,74,1,1,1,1,0,2020,2,0
511,12598,166,1,1,1,0,1,2018,2,0
512,16953,40,1,1,1,1,0,2020,2,0
513,3568,38,0,0,0,0,0,2019,0,0
514,3570,2,0,0,1,1,0,2020,1,0
515,3569,328,1,0,0,0,0,2020,0,0
516,387,42,1,1,1,0,0,2020,2,0
517,3565,227,0,0,1,0,0,2020,0,0
518,3552,84,0,0,1,0,0,2021,0,0
519,3559,178,1,1,1,1,0,2020,2,0
520,12550,97,1,0,0,0,0,2020,0,0
521,3550,128,1,1,1,1,0,2020,2,0
522,3554,9,0,0,0,0,0,2020,0,0
523,382,62,1,1,1,0,0,2020,2,0
524,3543,224,1,0,1,1,0,2020,1,0
525,3541,235,1,0,0,0,0,2001,0,0
526,16904,41,0,0,0,0,0,2020,0,0
527,12469,142,1,1,1,1,0,2020,2,0
528,12465,34,1,1,1,0,0,2020,2,0
529,12486,8,1,1,0,0,0,2020,2,0
530,12489,9,1,0,1,1,1,2020,0,0
531,376,98,1,1,1,0,1,2020,2,0
532,12458,44,0,0,0,0,0,2020,0,0
533,12451,63,1,1,1,1,0,2020,2,0
534,3538,133,0,0,0,0,0,2015,0,0
535,3535,24,1,1,0,0,0,2020,2,0
536,277,55,1,1,1,1,0,2020,2,0
537,12441,13,1,0,0,0,1,2021,0,0
538,12442,47,1,1,1,1,0,2019,2,0
539,16908,38,0,0,0,0,0,2021,0,0
540,3528,554,1,1,1,0,0,2020,2,0
541,3524,79,1,1,1,0,0,2020,2,0
542,12439,41,1,1,0,0,0,2020,2,0
543,17044,11,0,0,0,0,0,2020,0,0
544,3521,70,1,0,1,1,0,2020,1,0
545,3517,90,1,1,1,0,0,2020,2,0
546,3519,170,1,0,1,1,0,2017,1,0
547,16954,287,0,0,0,0,0,2020,0,0
548,12355,18,1,0,0,0,1,2021,0,0
549,3516,228,1,1,1,0,0,2019,2,0
550,365,16,0,0,0,0,0,2001,0,0
551,3514,653,0,0,1,0,0,2016,0,0
552,12347,112,1,1,1,1,0,2019,2,0
553,3515,181,1,0,1,1,0,2019,1,0
554,12352,17,1,0,0,0,1,2020,0,0
555,3513,179,0,0,1,0,0,0,0,0
556,11,25,1,1,1,1,0,2019,2,0
557,3511,56,0,0,1,0,0,2021,0,0
558,3506,52,1,1,1,0,0,2020,2,0
559,12319,105,0,0,1,1,0,2020,1,0
560,3505,73,1,1,1,0,0,2019,2,0
561,3503,55,0,0,0,0,0,2020,0,0
562,3499,216,1,0,1,1,0,2017,1,0
563,231,142,1,1,0,0,0,2020,2,0
564,16919,116,1,1,1,0,0,2020,2,0
565,351,49,0,0,1,1,0,2020,1,0
566,3483,50,1,1,1,1,0,2020,2,0
567,12286,239,1,1,1,1,0,2020,2,0
568,3480,96,0,0,0,0,0,2021,0,0
569,12288,258,1,1,1,0,0,2020,2,0
570,3489,34,1,1,0,0,0,2020,2,0
571,3494,289,1,0,0,0,0,2020,0,0
572,3482,287,0,0,0,0,0,2020,0,0
573,3479,357,1,0,1,1,0,2020,1,0
574,3475,28,1,1,0,0,0,2020,2,0
575,3471,57,1,1,1,0,0,2020,2,0
